,prime,target,RT.200SOA,RT.1200SOA,obs.200SOA,obs.1200SOA,primecond,rel,t_length,t_freq,t_logfreq,t_orthoN,t_bgmean,t_POS,relation,FAS,LSA,BEAGLE_RPs,BEAGLE_PMI,p_freq,p_logfreq,p_length,p_orthoN,p_bgsum,p_bgmean,p_POS
1264,CONDITION,drunk,586.9375,648.4516129,32,31,4,0,5,76.55,3.59,3,800.5,JJ,,,,0.099609017,0.036707931,9,37.96,3.29,0,24786,3098.25,NN|VB
1265,CONDITIONER,football,609.3870968,729.030303,31,33,3,0,8,37.53,3.28,0,1134.29,NN,,,,0.046634827,0,2.16,2.05,11,1,33223,3322.3,NN
1266,CONDITIONER,shampoo,675.09375,689.15625,32,32,1,1,7,4.22,2.33,0,1044,NN|VB,category,0.455,0.38,0.009131549,400.8872972,2.16,2.05,11,1,33223,3322.3,NN
1267,CONE,women,603.7878788,663.6451613,33,31,4,0,5,195.65,4,2,1778,NN,,,,0.112270588,0,4,2.92,2.18,18,9354,3118,NN
1268,CONE,cup,579.4333333,635.8709677,30,31,2,1,3,51.65,3.42,8,531,NN|VB,category,0.014,0.11,0.078377749,0.126720208,4,2.92,2.18,18,9354,3118,NN
1269,CONFERENCE,picket,887.8,772.2380952,20,21,3,0,6,2.22,2.06,6,1261.4,NN|VB,,,,0.076424365,0.127076426,25.41,3.11,10,0,25536,2837.33,NN
1270,CONFERENCE,meeting,606.1612903,642.2903226,31,31,1,1,7,132.39,3.83,1,3259.33,NN|VB,synonym,0.39,0.55,0.116931905,0.396408576,25.41,3.11,10,0,25536,2837.33,NN
1271,CONFESS,guilty,637.0967742,840.78125,31,32,2,1,6,62.29,3.5,0,663.6,JJ|NN,unclassified,0.026,0.31,0.031561775,1.17945247,7,15.84,2.91,1,14046,2341,VB
1272,CONFESS,alligator,808.7333333,674.9032258,30,31,4,0,9,3.49,2.25,0,2145.25,NN,,,,0.113428482,0.05656641,7,15.84,2.91,1,14046,2341,VB
1273,CONFIDENCE,security,685.2903226,666.7096774,31,31,1,1,8,94.31,3.68,0,1585.29,NN,synonym,0.091,0.18,0.038734885,0.287784712,19.47,3,10,0,18508,2056.44,NN
1274,CONFLICT,fight,616.7741935,655.8484848,31,33,1,1,5,201.08,4.01,7,607.25,NN|VB,synonym,0.311,0.2,0.250844451,0.221916268,8.71,2.65,8,0,14067,2009.57,NN
1275,CONFLICT,tennis,614.3103448,734.1,29,30,3,0,6,13.63,2.84,1,2570.8,NN,,,,0.18074453,0.263998156,8.71,2.65,8,0,14067,2009.57,NN
1276,CONFUSE,sheets,646.7272727,697.3548387,33,31,3,0,6,12.47,2.8,1,1254.8,NN,,,,0.074039184,2.055776161,4.76,2.39,7,0,11323,1887.17,VB
1277,CONFUSION,lost,641.6774194,696.3,31,30,1,1,4,274,4.15,12,1959.67,VB|JJ|NN,unclassified,0.069,0.38,0.097941037,0.111821229,7.12,2.56,9,1,18104,2263,NN
1278,CONFUSION,highway,775.2580645,634,31,32,3,0,7,17.86,2.96,0,585.83,NN,,,,0.136694966,0.080309539,7.12,2.56,9,1,18104,2263,NN
1279,CONGRESS,cover,701.2962963,619.6551724,27,29,3,0,5,94.27,3.68,10,2769.25,VB|NN,,,,0.01541122,0,8.22,2.62,8,0,22348,3192.57,NN
1280,CONGRESS,senate,713.3793103,647.3870968,29,31,1,1,6,6.49,2.52,1,3170,NN|JJ,script,0.145,0.71,0.275142657,1.544266937,8.22,2.62,8,0,22348,3192.57,NN
1281,CONNECT,hole,634.12,712.5517241,25,29,3,0,4,58.22,3.47,13,1969.33,NN|VB,,,,0.128675398,0.152561078,9.65,2.69,7,0,12161,2026.83,VB|NN
1282,CONNECT,dots,701.9032258,728.2666667,31,30,1,1,4,3.06,2.2,5,833,NN,fpa,0.219,0.17,0.123961086,0.255732832,9.65,2.69,7,0,12161,2026.83,VB|NN
1283,CONQUER,boxer,646.1724138,638.0625,29,32,3,0,5,3.84,2.29,5,1777.5,NN,,,,0.122616116,0.03911897,4.98,2.41,7,0,14229,2371.5,VB
1284,CONQUER,defeat,633.0666667,732.9677419,30,31,1,1,6,11.37,2.76,1,1923,VB|NN,synonym,0.16,0.49,0.257154513,0.490609848,4.98,2.41,7,0,14229,2371.5,VB
1285,CONQUEST,adventure,669.3225806,647.375,31,32,2,1,9,13.43,2.84,0,2061.5,NN,unclassified,0.034,0.2,0.138711512,0.117874358,8,1.88,1.99,0,16121,2303,NN
1286,CONQUEST,fries,715.71875,659.6333333,32,30,4,0,5,11.69,2.78,7,2248.5,NN|VB,,,,0,0.428453237,8,1.88,1.99,0,16121,2303,NN
1287,CONSCIENCE,awake,665.21875,603.3548387,32,31,2,1,5,26.71,3.13,2,529.75,JJ|VB,unclassified,0.041,0.16,0.065231307,0.428771512,10,13.9,2.85,0,18897,2099.67,NN
1288,CONSCIENCE,trip,698.8965517,640.9354839,29,31,4,0,4,82.39,3.62,6,1696,NN|VB,,,,0.074529997,0.096228721,10,13.9,2.85,0,18897,2099.67,NN
1289,CONSCIOUS,aware,608.7419355,689.71875,31,32,2,1,5,35.65,3.26,2,2099.25,JJ|NN,synonym,0.104,0.6,0.466267864,1.264776688,9,6.8,2.54,0,16449,2056.13,JJ|NN
1290,CONSCIOUS,rabbit,668.3225806,613.0344828,31,29,4,0,6,20.94,3.03,0,1416.8,NN|VB,,,,0.024649011,0.042053171,9,6.8,2.54,0,16449,2056.13,JJ|NN
1291,CONSEQUENCE,friend,563.96875,658.34375,32,32,4,0,6,419.29,4.33,0,2016.6,NN,,,,0.005577236,0.071329025,11,3.14,2.21,0,18872,1887.2,NN
1292,CONSEQUENCE,action,575.2903226,727.4333333,31,30,2,1,6,61.08,3.49,0,2898.8,NN,unclassified,0.033,0.22,0.246752916,0.580241703,11,3.14,2.21,0,18872,1887.2,NN
1293,CONSTITUTION,calculate,687.4482759,667.2580645,29,31,3,0,9,2.08,2.03,0,2154.38,VB,,,,0.049105279,0.048294207,5.53,2.45,12,0,33026,3002.36,NN
1294,CONSTITUTION,rights,646.25,782.1935484,32,31,1,1,6,29.61,3.18,4,1101.8,NN|VB,script,0.167,0.5,0.146401428,0.639838282,5.53,2.45,12,0,33026,3002.36,NN
1295,CONSTRUCT,destroy,682.3225806,691.3939394,31,33,2,1,7,47.18,3.38,0,2437.5,VB,antonym,0.028,0.07,0.199469712,0.121239979,9,1.45,1.88,1,16435,2054.38,VB
1296,CONSTRUCT,bone,631.3125,690.03125,32,32,4,0,4,26.06,3.12,14,2548.33,NN|VB,,,,0.13062117,0.071602795,9,1.45,1.88,1,16435,2054.38,VB
1297,CONSTRUCTION,build,619.71875,659.09375,32,32,1,1,5,48.08,3.39,2,678.75,VB|NN,unclassified,0.333,0.43,0.262865145,0.479930519,13.84,2.85,12,1,28326,2575.09,NN
1298,CONSTRUCTION,climate,692.1612903,705.5483871,31,31,3,0,7,3.53,2.26,0,2411.5,NN,,,,0.069184013,0,13.84,2.85,12,1,28326,2575.09,NN
1300,CONTAINER,award,656.0967742,824.9285714,31,28,3,0,5,12.88,2.82,1,1120.75,NN|VB,,,,0,0.072206935,4.29,2.34,9,1,28225,3528.13,NN
1301,CONTEMPORARY,modern,670.125,703.3225806,32,31,1,1,6,18.24,2.97,0,2147,JJ|NN,synonym,0.313,0.59,0.39363926,0.399792719,1.94,2,12,0,26919,2447.18,JJ|NN
1302,CONTEMPORARY,tan,609.2333333,655.9375,30,32,3,0,3,8.61,2.64,18,2680,JJ|NN,,,,0.023024404,0.037786762,1.94,2,12,0,26919,2447.18,JJ|NN
1303,CONTENT,egg,606.90625,625.875,32,32,4,0,3,26.04,3.12,1,336.5,NN|VB,,,,0.09488107,0.067622032,7,7.63,2.59,5,21326,3554.33,NN
1304,CONTENT,book,551.5454545,623.4193548,33,31,2,1,4,176.98,3.96,13,639.67,NN|VB,unclassified,0.103,0.13,0.111464891,0.163563254,7,7.63,2.59,5,21326,3554.33,NN
1305,CONTEST,back,710.3,609.5333333,30,30,3,0,4,2009.16,5.01,17,1061,RB|JJ|NN|VB,,,,0.00041115,0,18.78,2.98,7,3,22546,3757.67,NN
1306,CONTEST,winner,661.2,662.1935484,30,31,1,1,6,31.22,3.2,5,3233.2,NN,fpa,0.182,0.64,0.066340343,0.963382953,18.78,2.98,7,3,22546,3757.67,NN
1307,CONTEXT,clue,571.6774194,717.7,31,30,2,1,4,17.61,2.95,4,521,NN|VB,unclassified,0.07,0.54,0.250946717,0.143012329,7,3.2,2.21,2,15220,2536.67,NN
1308,CONTEXT,need,673.3125,733.7241379,32,29,4,0,4,1294.9,4.82,7,2543.33,NN|VB,,,,0.254644641,0.181810878,7,3.2,2.21,2,15220,2536.67,NN
1309,CONTINENT,bone,724.8148148,700.5666667,27,30,3,0,4,26.06,3.12,14,2548.33,NN|VB,,,,0.034431164,0.058792867,3.67,2.27,9,0,30878,3859.75,NN
1310,CONTINENT,africa,741.5806452,636.8666667,31,30,1,1,6,18.76,2.98,0,1515.8,NN,supraordinate,0.169,0.63,0.322493753,1.37099832,3.67,2.27,9,0,30878,3859.75,NN
1311,CONTRACT,agreement,680.8666667,630.7419355,30,31,1,1,9,17.49,2.95,0,2066.25,NN,synonym,0.212,0.7,0.286214403,0.765681039,32.35,3.22,8,1,17498,2499.71,NN
1312,CONTRACT,bat,626.3225806,803.6896552,31,29,3,0,3,20.63,3.02,19,2479,NN|VB,,,,0.099059263,0.073393787,32.35,3.22,8,1,17498,2499.71,NN
1313,CONTRACTOR,builder,699.4516129,631.483871,31,31,1,1,7,0.94,1.69,1,1913,NN,category,0.277,0.27,0.023095697,2.388078739,3.14,2.21,10,0,21618,2402,NN
1314,CONTRACTOR,help,604.6774194,694.3125,31,32,3,0,4,921.12,4.67,7,1188.67,VB|NN,,,,0.015533195,0,3.14,2.21,10,0,21618,2402,NN
1315,CONTROL,power,614,711.2903226,31,31,1,1,5,149.02,3.88,9,2101.75,NN|VB,synonym,0.061,0.33,0.34733001,0.254222548,130.63,3.82,7,0,15226,2537.67,NN|VB
1316,CONTROL,enter,716.9354839,674.125,31,32,3,0,5,29.73,3.18,1,4347.75,VB,,,,0.061190629,0.264752635,130.63,3.82,7,0,15226,2537.67,NN|VB
1317,CONVENT,nun,870.2222222,769.3214286,27,28,1,1,3,6.96,2.55,10,1063.5,NN,script,0.747,0.3,0.048224282,19.60692137,3.33,2.23,7,4,16045,2674.17,NN
1318,CONVENT,beginner,738.7575758,786.9677419,33,31,3,0,8,1.94,2,0,2509.71,NN,,,,0.032181449,0.027213372,3.33,2.23,7,4,16045,2674.17,NN
1319,CONVERSATION,speech,602.1333333,593.0909091,30,33,2,1,6,38.04,3.29,0,1236.2,NN,unclassified,0.02,0.44,0.16522313,0.323564703,12,49.86,3.41,0,33650,3059.09,NN
1320,CONVERSATION,leather,678.1818182,618.7333333,33,30,4,0,7,13.59,2.84,3,3107.67,NN,,,,0.066970799,0.629571923,12,49.86,3.41,0,33650,3059.09,NN
1321,CONVICT,killer,579.4375,700.6666667,32,30,2,1,6,62.86,3.51,4,2610.6,NN,unclassified,0.029,0.16,0.030023039,2.176456631,7,6.35,2.51,0,11508,1918,VB
1322,CONVICT,more,720.0606061,680.7586207,33,29,4,0,4,1298.59,4.82,18,2753.33,JJ|RB,,,,0.137438961,0.035054188,7,6.35,2.51,0,11508,1918,VB
1323,CONVINCE,persuade,715.5862069,749.3703704,29,27,1,1,8,6.39,2.51,0,2034.71,VB,synonym,0.251,0.81,0.523490826,0.552217196,18.73,2.98,8,0,18002,2571.71,VB
1324,CONVINCE,comfortable,690.4193548,780.0645161,31,31,3,0,11,47.22,3.38,1,1553.8,JJ,,,,0.100625546,0.054149184,18.73,2.98,8,0,18002,2571.71,VB
1325,COOK,arrogant,713.3076923,760.6551724,26,29,4,0,8,5.22,2.43,0,1901,JJ,,,,0.024101722,0.028055668,4,45.57,3.37,11,3628,1209.33,NN|VB
1326,COOK,raw,606.2580645,733.1428571,31,28,2,1,3,10.18,2.72,13,1668,JJ|NN,antonym,0.031,0.11,0.038744854,1.709857671,4,45.57,3.37,11,3628,1209.33,NN|VB
1327,COOKBOOK,novel,680.7931034,752.030303,29,33,3,0,5,10.06,2.71,2,1243.75,NN,,,,0.071544154,0.105346382,0.73,1.58,8,0,5579,797,NN
1328,COOKBOOK,recipe,690.96875,668.34375,32,32,1,1,6,7.61,2.59,1,1803.8,NN,script,0.304,0.11,0.02773501,55.56458766,0.73,1.58,8,0,5579,797,NN
1329,COOL,air,599.3870968,695.125,31,32,2,1,3,139.02,3.85,5,864,NN|VB,fpa,0.02,0.49,0.277532363,0.651634895,4,195.88,4,9,4697,1565.67,JJ|VB|NN
1330,COOL,lake,605.1935484,763.6,31,30,4,0,4,36,3.26,16,1082.67,NN,,,,0.075777601,0.041164123,4,195.88,4,9,4697,1565.67,JJ|VB|NN
1331,COOLER,bitch,672.7741935,719.8666667,31,30,3,0,5,168.8,3.94,9,1137.25,NN|VB,,,,0.01148692,0,7.06,2.56,6,2,14275,2855,JJ
1332,COOLER,wine,586.09375,752.4827586,32,29,1,1,4,60.35,3.49,19,3212.67,NN,bpa,0.207,0,0.064379508,0.41780119,7.06,2.56,6,2,14275,2855,JJ
1333,COP,again,678.03125,699.625,32,32,4,0,5,792.71,4.61,0,2303,RB,,,,0.028204601,0.007667383,3,86.14,3.64,17,3224,1612,NN
1334,COP,ticket,634.5,652.6333333,32,30,2,1,6,45.57,3.37,4,2052.6,NN|VB,script,0.02,0.22,0.075308958,0.269150689,3,86.14,3.64,17,3224,1612,NN
1337,COPPER,penny,642.7096774,667.53125,31,32,1,1,5,24.29,3.09,2,1500.25,NN,fpa,0.211,0.33,0.072122058,1.301102179,6.59,2.53,6,4,11555,2311,NN|JJ
1338,COPPER,land,628.6774194,649.9375,31,32,3,0,4,88.12,3.65,11,2421.33,NN|VB,,,,0.016392149,0,6.59,2.53,6,4,11555,2311,NN|JJ
1339,COPY,thumb,660.1,731.7741935,30,31,4,0,5,11.82,2.78,1,668.25,NN|VB,,,,0.008380152,0.417655989,4,52.27,3.43,4,3309,1103,NN|VB
1340,COPY,machine,666.84375,623.2258065,32,31,2,1,7,70.25,3.55,0,2486.17,NN|VB,fpa,0.061,0.3,0.207295779,0.213992477,4,52.27,3.43,4,3309,1103,NN|VB
1341,CORAL,washington,695.3666667,666.9677419,30,31,3,0,10,42,3.33,0,2367.89,NN,,,,0.078612126,0.052728882,2.37,2.09,5,1,11401,2850.25,JJ|NN
1342,CORAL,reef,732.7,787.72,30,25,1,1,4,4,2.31,4,1953,NN,fpa,0.377,0.71,0.077675583,63.30550354,2.37,2.09,5,1,11401,2850.25,JJ|NN
1343,CORD,telephone,576.59375,627.7333333,32,30,2,1,9,32.37,3.22,0,2355.75,NN|VB,bpa,0.18,0.14,0.015732335,0.531369325,4,7.02,2.56,11,5855,1951.67,NN
1344,CORD,dance,659.6333333,598.9,30,30,4,0,5,148.04,3.88,3,1761.75,NN|VB,,,,0.237277795,0.076214151,4,7.02,2.56,11,5855,1951.67,NN
1345,CORE,middle,679.53125,670.3333333,32,30,2,1,6,89.2,3.66,5,1230.4,NN|JJ,unclassified,0.108,0.12,0.047773552,0.077881338,4,9.82,2.7,23,9769,3256.33,NN|JJ|VB
1346,CORE,early,571.2258065,734.71875,31,32,4,0,5,108.04,3.74,0,1651.75,JJ|RB|NN,,,,0.071536015,0,4,9.82,2.7,23,9769,3256.33,NN|JJ|VB
1347,CORK,board,695.5,717.9354839,32,31,2,1,5,64.16,3.51,2,1194.25,NN|VB,fpa,0.033,0.01,0.100415951,0.075249483,4,2.86,2.17,11,5497,1832.33,NN|VB
1348,CORK,states,712.9032258,860.3928571,31,28,4,0,6,54.1,3.44,6,3701.4,NN|VB,,,,0.281527337,0.18782375,4,2.86,2.17,11,5497,1832.33,NN|VB
1351,CORPORAL,army,579.8387097,694.09375,31,32,1,1,4,85.69,3.64,2,1216,NN,script,0.27,0.31,0.027175519,0.778103466,15.73,2.9,8,0,15498,2214,NN
1352,CORPORAL,princess,681.7419355,747.625,31,32,3,0,8,39.59,3.31,1,2886.14,NN,,,,0.042088746,0.07216464,15.73,2.9,8,0,15498,2214,NN
1353,CORPORATION,business,660.5151515,651.5625,33,32,1,1,8,321,4.21,1,2702,NN,unclassified,0.374,0.38,0.377363922,0.447825639,7.71,2.6,11,0,28506,2850.6,NN
1354,CORPORATION,lamb,641.1,676,30,31,3,0,4,10.63,2.73,5,1131.33,NN,,,,0.066734573,0.112694852,7.71,2.6,11,0,28506,2850.6,NN
1355,CORPSE,not,625.0384615,719.0344828,26,29,3,0,3,5424.96,5.44,15,852,RB,,,,0.134659557,0.182792647,10.1,2.71,6,0,7832,1566.4,NN
1356,CORPSE,dead,570.5483871,663.9032258,31,31,1,1,4,448.98,4.36,10,1822.33,JJ|NN|RB,perceptual property,0.537,0.56,0.089135634,1.822686263,10.1,2.71,6,0,7832,1566.4,NN
1357,CORRECT,wrong,610.3225806,638.65625,31,32,1,1,5,523.1,4.43,2,2696.75,JJ|NN|RB|VB,antonym,0.554,0.38,0.111624194,1.04378103,44.94,3.36,7,0,12788,2131.33,JJ|VB|NN
1358,CORRECT,owner,684.516129,658.9310345,31,29,3,0,5,23.24,3.07,1,2322,NN,,,,0.055621595,0.048160586,44.94,3.36,7,0,12788,2131.33,JJ|VB|NN
1359,CORRIDOR,hall,569.3125,582.6,32,30,1,1,4,51.94,3.42,17,1942,NN,synonym,0.401,0.64,0.570499685,0.282706866,5.57,2.45,8,0,12867,1838.14,NN
1360,CORRIDOR,evidence,840.3793103,779.03125,29,32,3,0,8,85,3.64,0,1648.57,NN,,,,0.180035125,0.073609823,5.57,2.45,8,0,12867,1838.14,NN
1361,COSTUME,clothes,693.4375,697.1818182,32,33,2,1,7,101.14,3.71,1,1752.33,NN,unclassified,0.109,0.39,0.124509687,1.095091652,7,14.14,2.86,0,9993,1665.5,NN
1362,COSTUME,string,688.6774194,693.375,31,32,4,0,6,12.67,2.81,3,3788.2,NN|VB,,,,0.039458534,0.021058292,7,14.14,2.86,0,9993,1665.5,NN
1363,COTTON,wool,603.4333333,685.862069,30,29,2,1,4,3.16,2.21,6,854,NN,category,0.04,0.67,0.330439086,11.67490615,6,14.18,2.86,0,10022,2004.4,NN|VB
1364,COTTON,state,682.28125,618.9655172,32,29,4,0,5,107.84,3.74,7,3504.5,NN|VB,,,,0.100873249,0.069225167,6,14.18,2.86,0,10022,2004.4,NN|VB
1365,COUCH,relax,620.6206897,651.6,29,30,2,1,5,96.78,3.69,1,2097.25,VB|NN,functional property,0.027,0.21,0.084904795,1.119141118,5,23.47,3.08,6,6109,1527.25,NN
1366,COUCH,ring,656.9375,658.5,32,32,4,0,4,92.75,3.67,10,4562.67,NN|VB,,,,0.053660813,0.210478753,5,23.47,3.08,6,6109,1527.25,NN
1367,COUGAR,lion,629.4516129,766.0645161,31,31,2,1,4,15.35,2.89,4,3287.33,NN,category,0.087,0.29,0.095958131,4.49173841,6,2,2.01,0,8044,1608.8,NN
1368,COUGAR,remember,600.7,695.2758621,30,29,4,0,8,542.47,4.44,0,2250.71,VB,,,,0.039684252,0.032321828,6,2,2.01,0,8044,1608.8,NN
1369,COUGH,cold,651.3939394,616.375,33,32,1,1,4,130.16,3.82,12,1366.67,JJ|NN,category,0.277,0.28,0.061001303,2.906942943,8.78,2.65,5,6,4940,1235,NN|VB
1370,COUGH,now,659.7096774,624.4666667,31,30,3,0,3,3202.61,5.21,15,742.5,RB|JJ|NN,,,,0.034645799,0.149183863,8.78,2.65,5,6,4940,1235,NN|VB
1371,COUNTRY,quick,685.6774194,642.4193548,31,31,3,0,5,108.67,3.74,3,1053,JJ|NN|RB,,,,0.054168453,0.124519138,161.84,3.92,7,0,11344,1890.67,NN
1372,COUNTRY,usa,737.7777778,809.95,18,20,1,1,3,,,,,NN,supraordinate,0.182,0.27,0.087772412,0.168607059,161.84,3.92,7,0,11344,1890.67,NN
1373,COUNTY,city,591.0967742,747.1333333,31,30,1,1,4,169.1,3.94,2,1288.33,NN,category,0.195,0.29,0.218336616,0.748888858,33.76,3.24,6,2,9724,1944.8,NN
1374,COUNTY,shower,593.375,671.6451613,32,31,3,0,6,41.12,3.32,2,1964.2,NN|VB,,,,0,0.030413936,33.76,3.24,6,2,9724,1944.8,NN
1375,COUPLE,date,597.3636364,713.3666667,33,30,2,1,4,141.53,3.86,17,3036.67,NN|VB,script,0.023,0.13,0.113121948,0.050519707,6,223.41,4.06,0,8746,1749.2,NN|JJ|VB
1376,COUPLE,christmas,737.7575758,727.7096774,33,31,4,0,9,122.43,3.8,0,1773.63,NN,,,,0.046379843,0.455355838,6,223.41,4.06,0,8746,1749.2,NN|JJ|VB
1377,COURAGE,quick,695.2258065,774.3870968,31,31,4,0,5,108.67,3.74,3,1053,JJ|NN|RB,,,,0.002290784,0,7,23.67,3.08,0,10607,1767.83,NN
1378,COURAGE,bravery,610.59375,733.6774194,32,31,2,1,7,2.88,2.17,1,2127.5,NN,synonym,0.082,0.63,0.309708787,6.932806077,7,23.67,3.08,0,10607,1767.83,NN
1379,COURAGEOUS,superman,710.2222222,924.483871,27,31,2,1,8,12.22,2.8,0,2119.43,NN,functional property,0.014,0.06,0.026421209,0,10,3.16,2.21,0,13992,1554.67,JJ
1380,COURAGEOUS,dumb,698.6875,700.7,32,30,4,0,4,46.96,3.38,2,473,JJ|NN,,,,0.08366823,0.06113517,10,3.16,2.21,0,13992,1554.67,JJ
1381,COURT,spread,692.34375,743.96875,32,32,3,0,6,31.29,3.2,0,1916.2,NN|VB|JJ,,,,0.024186106,0.122098214,100.73,3.71,5,1,6505,1626.25,NN|VB
1382,COURT,judge,576.4193548,761.09375,31,32,1,1,5,79.67,3.61,3,471.5,NN|VB,script,0.25,0.77,0.224668147,2.329148284,100.73,3.71,5,1,6505,1626.25,NN|VB
1383,COUSIN,reptile,699.96,779.5862069,25,29,4,0,7,1.41,1.86,0,2534,NN,,,,0.111208755,0.06470187,6,48.84,3.4,0,14209,2841.8,NN
1384,COUSIN,nephew,672.5172414,855.21875,29,32,2,1,6,16.59,2.93,0,1111.8,NN,category,0.04,0.52,0.156655657,3.644893879,6,48.84,3.4,0,14209,2841.8,NN
1385,COVER,lid,682.4666667,812.2068966,30,29,1,1,3,4.92,2.4,12,1797,NN,synonym,0.12,0.35,0.149238856,0.607662722,94.27,3.68,5,10,11077,2769.25,VB|NN
1386,COVER,girlfriend,779.03125,794,32,31,3,0,10,76.1,3.59,0,1317.11,NN,,,,0.123053672,0.314723015,94.27,3.68,5,10,11077,2769.25,VB|NN
1387,COVERED,football,601.6774194,699.7,31,30,4,0,8,37.53,3.28,0,1134.29,NN,,,,0.006821136,0,7,31.61,3.21,2,20104,3350.67,VB|JJ
1388,COVERED,sheets,602.516129,718.8,31,30,2,1,6,12.47,2.8,1,1254.8,NN,unclassified,0.041,0.47,0.142438009,0.402008035,7,31.61,3.21,2,20104,3350.67,VB|JJ
1389,COWARD,wimp,784.3846154,736.6666667,26,24,1,1,4,,,,,NN,synonym,0.157,0.02,0,0,14.39,2.87,6,2,7416,1483.2,NN
1390,COWARD,river,610.2903226,715.3,31,30,3,0,5,55.47,3.45,7,2952.5,NN,,,,0.11293667,0.053966535,14.39,2.87,6,2,7416,1483.2,NN
1391,COWBOY,boots,608.8,648,30,30,2,1,5,19.16,2.99,10,900.25,NN|VB,fpa,0.113,0.33,0.189095538,2.823516994,6,18.98,2.99,0,4094,818.8,NN
1392,COWBOY,fly,575.3103448,757,29,31,4,0,3,85,3.64,4,1008.5,VB|NN,,,,0.03587083,0.010065416,6,18.98,2.99,0,4094,818.8,NN
1395,COYOTE,wolf,583.8709677,665.8787879,31,33,1,1,4,20.27,3.01,2,579,NN|VB,category,0.237,0.55,0.322906588,5.060798244,3.63,2.27,6,0,8000,1600,NN
1396,COYOTE,hidden,682.3870968,603.5806452,31,31,3,0,6,21.27,3.04,1,1711,VB|JJ,,,,0.060023463,0.105366331,3.63,2.27,6,0,8000,1600,NN
1397,COZY,yellow,575.2,649.1,30,30,3,0,6,33.8,3.24,3,1137.6,JJ|NN|VB,,,,0.023513992,0.050291755,5.65,2.46,4,3,2533,844.33,JJ|NN
1398,COZY,comfortable,706.7096774,718.3,31,30,1,1,11,47.22,3.38,1,1553.8,JJ,synonym,0.292,0.39,0.24633904,1.929286505,5.65,2.46,4,3,2533,844.33,JJ|NN
1399,CRAB,scared,756.6774194,784,31,33,3,0,6,133.39,3.83,7,2934.4,VB|JJ,,,,0.047259145,0.060626057,6.9,2.55,4,7,4912,1637.33,NN
1400,CRAB,lobster,569.40625,683.4,32,30,1,1,7,7.33,2.57,1,2695.67,NN,category,0.128,0.5,0.179457135,38.95899606,6.9,2.55,4,7,4912,1637.33,NN
1401,CRACK,cocaine,910.8064516,755.875,31,32,1,1,7,8.25,2.63,0,2502.33,NN,fpa,0.208,0.01,0.04154356,15.22979416,32.84,3.22,5,6,6312,1578,NN|VB
1402,CRACK,situation,716.5806452,758.8709677,31,31,3,0,9,82.49,3.62,0,2640.38,NN,,,,0.091581154,0.083890842,32.84,3.22,5,6,6312,1578,NN|VB
1403,CRADLE,stress,620.4242424,742.7,33,30,4,0,6,15.61,2.9,0,3171,NN|VB,,,,0.033938023,0.102844361,6,2.84,2.16,0,8685,1737,NN
1404,CRADLE,cuddle,778.6666667,758.5625,33,32,2,1,6,2.16,2.05,5,989.6,NN|VB,unclassified,0.027,0.15,0.023233835,1.32226859,6,2.84,2.16,0,8685,1737,NN
1405,CRAFT,in,683.5862069,702.1290323,29,31,4,0,2,9773.41,5.7,7,6910,minor|RB|JJ,,,,0.17902717,0.146747967,5,5.67,2.46,2,4298,1074.5,NN|VB
1406,CRAFT,trade,604.7,583.483871,30,31,2,1,5,35.2,3.25,2,2112.5,NN|VB,synonym,0.028,0.2,0.219136754,0.289639071,5,5.67,2.46,2,4298,1074.5,NN|VB
1407,CRAFTS,clay,698.0333333,692.5483871,30,31,2,1,4,12,2.79,8,1007,NN,unclassified,0.013,0.09,0.054838197,0.319538897,6,1.37,1.85,2,5304,1060.8,NN|VB
1408,CRAFTS,sexy,699.25,711.9333333,32,30,4,0,4,29.98,3.18,0,883.67,JJ,,,,0.03157945,0.021304704,6,1.37,1.85,2,5304,1060.8,NN|VB
1409,CRANE,go,621.65625,648,32,32,4,0,2,3793.04,5.29,7,361,VB|NN,,,,0.084568935,0.187843378,5,33.61,3.23,5,9664,2416,NN|VB
1410,CRATER,hell,770.9,748.9375,30,32,4,0,4,470.82,4.38,16,1700,NN|minor,,,,0.034301348,0.082607089,6,2.59,2.12,2,18644,3728.8,NN
1411,CRATER,zit,882.2083333,793,24,26,2,1,3,,,,,NN,unclassified,0.014,,0,0,6,2.59,2.12,2,18644,3728.8,NN
1412,CRAVE,walk,638.875,540.5806452,32,31,4,0,4,215.86,4.04,5,1278,NN|VB,,,,0.029797966,0.016846862,5,2.08,2.03,5,6190,1547.5,VB
1413,CRAVE,hunger,613.8787879,707.71875,33,32,2,1,6,5.88,2.48,3,2687.6,NN|VB,synonym,0.114,0.06,0.088897353,1.653375366,5,2.08,2.03,5,6190,1547.5,VB
1414,CRAWL,snail,676.2857143,680.516129,28,31,2,1,5,1.76,1.96,1,986.25,NN,unclassified,0.014,0.42,0.129689586,2.745307785,5,12.04,2.79,3,4217,1054.25,VB|NN
1415,CRAWL,sting,709.1290323,735.6666667,31,30,4,0,5,7.02,2.56,6,4789,NN|VB,,,,0.103086877,0.222554498,5,12.04,2.79,3,4217,1054.25,VB|NN
1418,CRAZY,insane,717.2258065,752.0967742,31,31,1,1,6,38.69,3.3,0,3052,JJ|NN,synonym,0.209,0.16,0.108590032,1.667081315,272.27,4.14,5,1,4037,1009.25,JJ
