"prime","target","RT.200SOA","RT.1200SOA","obs.200SOA","obs.1200SOA","primecond","rel","t_length","t_freq","t_logfreq","t_orthoN","t_bgmean","t_POS","relation","FAS","LSA","BEAGLE_RPs","BEAGLE_PMI","p_freq","p_logfreq","p_length","p_orthoN","p_bgsum","p_bgmean","p_POS"
"COZY","yellow",575.2,649.1,30,30,3,0,6,33.8,3.24,3,1137.6,"JJ|NN|VB",NA,NA,NA,0.023513992,0.050291755,5.65,2.46,4,3,2533,844.33,"JJ|NN"
"COZY","comfortable",706.709677419355,718.3,31,30,1,1,11,47.22,3.38,1,1553.8,"JJ","synonym",0.292,0.39,0.24633904,1.929286505,5.65,2.46,4,3,2533,844.33,"JJ|NN"
"CRAB","scared",756.677419354839,784,31,33,3,0,6,133.39,3.83,7,2934.4,"VB|JJ",NA,NA,NA,0.047259145,0.060626057,6.9,2.55,4,7,4912,1637.33,"NN"
"CRAB","lobster",569.40625,683.4,32,30,1,1,7,7.33,2.57,1,2695.67,"NN","category",0.128,0.5,0.179457135,38.95899606,6.9,2.55,4,7,4912,1637.33,"NN"
"CRACK","cocaine",910.806451612903,755.875,31,32,1,1,7,8.25,2.63,0,2502.33,"NN","fpa",0.208,0.01,0.04154356,15.22979416,32.84,3.22,5,6,6312,1578,"NN|VB"
"CRACK","situation",716.58064516129,758.870967741935,31,31,3,0,9,82.49,3.62,0,2640.38,"NN",NA,NA,NA,0.091581154,0.083890842,32.84,3.22,5,6,6312,1578,"NN|VB"
"CRADLE","stress",620.424242424242,742.7,33,30,4,0,6,15.61,2.9,0,3171,"NN|VB",NA,NA,NA,0.033938023,0.102844361,6,2.84,2.16,0,8685,1737,"NN"
"CRADLE","cuddle",778.666666666667,758.5625,33,32,2,1,6,2.16,2.05,5,989.6,"NN|VB","unclassified",0.027,0.15,0.023233835,1.32226859,6,2.84,2.16,0,8685,1737,"NN"
"CRAFT","in",683.586206896552,702.129032258065,29,31,4,0,2,9773.41,5.7,7,6910,"minor|RB|JJ",NA,NA,NA,0.17902717,0.146747967,5,5.67,2.46,2,4298,1074.5,"NN|VB"
"CRAFT","trade",604.7,583.483870967742,30,31,2,1,5,35.2,3.25,2,2112.5,"NN|VB","synonym",0.028,0.2,0.219136754,0.289639071,5,5.67,2.46,2,4298,1074.5,"NN|VB"
"CRAFTS","clay",698.033333333333,692.548387096774,30,31,2,1,4,12,2.79,8,1007,"NN","unclassified",0.013,0.09,0.054838197,0.319538897,6,1.37,1.85,2,5304,1060.8,"NN|VB"
"CRAFTS","sexy",699.25,711.933333333333,32,30,4,0,4,29.98,3.18,0,883.67,"JJ",NA,NA,NA,0.03157945,0.021304704,6,1.37,1.85,2,5304,1060.8,"NN|VB"
"CRANE","go",621.65625,648,32,32,4,0,2,3793.04,5.29,7,361,"VB|NN",NA,NA,NA,0.084568935,0.187843378,5,33.61,3.23,5,9664,2416,"NN|VB"
"CRATER","hell",770.9,748.9375,30,32,4,0,4,470.82,4.38,16,1700,"NN|minor",NA,NA,NA,0.034301348,0.082607089,6,2.59,2.12,2,18644,3728.8,"NN"
"CRATER","zit",882.208333333333,793,24,26,2,1,3,NA,NA,NA,NA,NA,"unclassified",0.014,NA,0,0,6,2.59,2.12,2,18644,3728.8,"NN"
"CRAVE","walk",638.875,540.58064516129,32,31,4,0,4,215.86,4.04,5,1278,"NN|VB",NA,NA,NA,0.029797966,0.016846862,5,2.08,2.03,5,6190,1547.5,"VB"
"CRAVE","hunger",613.878787878788,707.71875,33,32,2,1,6,5.88,2.48,3,2687.6,"NN|VB","synonym",0.114,0.06,0.088897353,1.653375366,5,2.08,2.03,5,6190,1547.5,"VB"
"CRAWL","snail",676.285714285714,680.516129032258,28,31,2,1,5,1.76,1.96,1,986.25,"NN","unclassified",0.014,0.42,0.129689586,2.745307785,5,12.04,2.79,3,4217,1054.25,"VB|NN"
"CRAWL","sting",709.129032258065,735.666666666667,31,30,4,0,5,7.02,2.56,6,4789,"NN|VB",NA,NA,NA,0.103086877,0.222554498,5,12.04,2.79,3,4217,1054.25,"VB|NN"
"CRAYOLA","skill",701.9,678.5,30,32,3,0,5,7.92,2.61,5,925.25,"NN|JJ",NA,NA,NA,0.019129611,0.055693185,NA,NA,7,NA,NA,NA,NA
"CRAYOLA","crayon",614.689655172414,603.969696969697,29,33,1,1,6,0.41,1.34,0,1804.6,"NN|VB","fpa",0.78,NA,0,798.4901278,NA,NA,7,NA,NA,NA,NA
"CRAZY","insane",717.225806451613,752.096774193548,31,31,1,1,6,38.69,3.3,0,3052,"JJ|NN","synonym",0.209,0.16,0.108590032,1.667081315,272.27,4.14,5,1,4037,1009.25,"JJ"
"CRAZY","letter",632.0625,740.181818181818,32,33,3,0,6,82.61,3.62,6,3199.8,"NN",NA,NA,NA,0.05299078,0.010791957,272.27,4.14,5,1,4037,1009.25,"JJ"
"CREAM","line",685.068965517241,774.033333333333,29,30,4,0,4,206.18,4.02,17,3972.67,"NN|VB",NA,NA,NA,0.13357902,0.020003342,5,48.71,3.4,2,8098,2024.5,"NN|VB"
"CREAM","milk",628.90625,613.096774193548,32,31,2,1,4,42.53,3.34,7,970,"NN|VB","supraordinate",0.115,0.52,0.053195724,9.652209308,5,48.71,3.4,2,8098,2024.5,"NN|VB"
"CREASE","fold",753.46875,645.1875,32,32,1,1,4,8.63,2.64,11,739,"NN|VB","synonym",0.308,0.46,0.094990855,7.490557677,1.35,1.85,6,2,10636,2127.2,"NN|VB"
"CREASE","indoors",638.275862068965,710.806451612903,29,31,3,0,7,2.47,2.1,0,2401.5,"NN",NA,NA,NA,0.195184931,0.068089382,1.35,1.85,6,2,10636,2127.2,"NN|VB"
"CREATE","mine",701.48275862069,887.964285714286,29,28,3,0,4,250.98,4.11,20,3514,"NN|VB|minor",NA,NA,NA,0.087215654,0.072253138,25.27,3.11,6,1,15729,3145.8,"VB|NN"
"CREATE","make",611.967741935484,764.285714285714,31,28,1,1,4,1387.75,4.85,17,969.67,"VB|NN","synonym",0.269,0.37,0.376417743,0.067803194,25.27,3.11,6,1,15729,3145.8,"VB|NN"
"CREATION","make",573.84375,686.466666666667,32,30,2,1,4,1387.75,4.85,17,969.67,"VB|NN","unclassified",0.068,0.25,0.10257455,0.075921477,8,6.08,2.49,0,23225,3317.86,"NN"
"CREATION","waiter",666.206896551724,667.903225806452,29,31,4,0,6,13.2,2.83,4,2863.4,"NN",NA,NA,NA,0.060095233,0.037406415,8,6.08,2.49,0,23225,3317.86,"NN"
"CREATIVE","mind",638.65625,665.064516129032,32,31,2,1,4,484.61,4.39,13,3343,"NN|VB","fpa",0.027,0.26,0.093079531,0.404860084,8,10.75,2.74,0,18885,2697.86,"JJ"
"CREATIVE","shower",665.838709677419,689.21875,31,32,4,0,6,41.12,3.32,2,1964.2,"NN|VB",NA,NA,NA,0.025402946,0.064894751,8,10.75,2.74,0,18885,2697.86,"JJ"
"CREATOR","food",583.166666666667,613.8,30,30,4,0,4,154.43,3.9,9,683.67,"NN",NA,NA,NA,0.04216662,0.152768548,7,2.78,2.16,0,15454,2575.67,"NN"
"CREATOR","builder",689.4,618.333333333333,30,30,2,1,7,0.94,1.69,1,1913,"NN","synonym",0.013,0.08,0.054518451,0.238563905,7,2.78,2.16,0,15454,2575.67,"NN"
"CREATURE","dinosaur",640.8,912.344827586207,30,29,2,1,8,3.98,2.31,0,1853.43,"NN","supraordinate",0.026,0.3,0.391446862,1.096384518,8,21.41,3.04,0,17969,2567,"NN"
"CREATURE","religion",838.483870967742,786.84375,31,32,4,0,8,13.86,2.85,0,2504.86,"NN",NA,NA,NA,0.039219573,0,8,21.41,3.04,0,17969,2567,"NN"
"CREDIT","card",592.827586206897,658.967741935484,29,31,1,1,4,85.43,3.64,12,1798.67,"NN","fpa",0.651,0.27,0.158205983,2.319132668,45.82,3.37,6,0,13877,2775.4,"NN|VB"
"CREDIT","decision",719.366666666667,798.066666666667,30,30,3,0,8,55.06,3.45,1,2351.43,"NN",NA,NA,NA,0.075419732,0.11470458,45.82,3.37,6,0,13877,2775.4,"NN|VB"
"CRESCENT","moon",625.03125,537.172413793103,32,29,1,1,4,49.96,3.41,11,2165.33,"NN|VB","fpa",0.524,0.41,0.03399204,4.382434148,1.41,1.86,8,0,19170,2738.57,"NN"
"CRESCENT","goose",649.892857142857,693.444444444444,28,27,3,0,5,13.04,2.82,3,1040.75,"NN",NA,NA,NA,0.025229724,0.033945606,1.41,1.86,8,0,19170,2738.57,"NN"
"CREVICE","silk",654.068965517241,707.354838709677,29,31,3,0,4,9.78,2.7,8,1078.67,"NN",NA,NA,NA,0.056349016,0,0.41,1.34,7,0,10509,1751.5,"NN"
"CREVICE","crack",766.838709677419,617.5625,31,32,1,1,5,32.84,3.22,6,1578,"NN|VB","synonym",0.48,0.2,0.408602587,6.548727208,0.41,1.34,7,0,10509,1751.5,"NN"
"CREW","team",656.40625,757.3125,32,32,2,1,4,147.61,3.88,10,2385,"NN|VB","unclassified",0.033,0.06,0.242023782,0.106923648,4,47.53,3.38,5,5647,1882.33,"NN|VB"
"CREW","start",677.483870967742,591.290322580645,31,31,4,0,5,340.1,4.24,4,2352.5,"VB|NN",NA,NA,NA,0.034961315,0.097163478,4,47.53,3.38,5,5647,1882.33,"NN|VB"
"CRICKET","better",612.28125,668.966666666667,32,30,3,0,6,794,4.61,7,2688.2,"JJ|RB|NN|VB",NA,NA,NA,0.049272632,0.040138938,2.82,2.16,7,0,9156,1526,"NN"
"CRICKET","bug",658.96875,572.258064516129,32,31,1,1,3,20.94,3.03,17,417.5,"NN|VB","supraordinate",0.216,0.38,0.084069919,0.231057648,2.82,2.16,7,0,9156,1526,"NN"
"CRISIS","stress",695.933333333333,703.84375,30,32,2,1,6,15.61,2.9,0,3171,"NN|VB","unclassified",0.027,0.18,0.151405487,0.152264659,6,16.65,2.93,1,10886,2177.2,"NN"
"CRISIS","hand",655,696.838709677419,31,31,4,0,4,279.65,4.15,9,2130,"NN|VB",NA,NA,NA,0.058886725,0.072671442,6,16.65,2.93,1,10886,2177.2,"NN"
"CRISP","crunchy",724.935483870968,744.806451612903,31,31,1,1,7,0.94,1.69,0,1080,"JJ","synonym",0.167,0.54,0.012940347,26.28717544,3.16,2.21,5,1,7258,1814.5,"JJ|NN|VB"
"CRISP","zoo",654.233333333333,767.266666666667,30,30,3,0,3,13.65,2.84,7,482.5,"NN",NA,NA,NA,0,0.390243902,3.16,2.21,5,1,7258,1814.5,"JJ|NN|VB"
"CRITERION","compact",804.533333333333,704.806451612903,30,31,4,0,7,1.69,1.94,0,1378.17,"JJ|NN",NA,NA,NA,0.050156193,0.191345559,9,0.22,1.08,0,26392,3299,"NN"
"CRITERION","schedule",633.033333333333,786.733333333333,30,30,2,1,8,29.76,3.18,0,1919.71,"NN|VB","unclassified",0.028,0.13,0.036013715,0.261725763,9,0.22,1.08,0,26392,3299,"NN"
"CRITICAL","dangerous",716.53125,638.4,32,30,2,1,9,74.84,3.58,0,2574.38,"JJ","unclassified",0.021,0.11,0.205631786,0.124362796,8,12.25,2.8,0,17783,2540.43,"JJ"
"CRITICAL","look",630.272727272727,618.620689655172,33,29,4,0,4,1947.27,5,11,874.67,"VB|NN",NA,NA,NA,0.093091783,0.077737556,8,12.25,2.8,0,17783,2540.43,"JJ"
"CRITICIZE","argue",670.774193548387,641.533333333333,31,30,2,1,5,19.75,3,0,1012.75,"VB","unclassified",0.027,0.3,0.198719444,0.39464942,9,2.16,2.05,0,15002,1875.25,"VB"
"CRITICIZE","fail",607.451612903226,631.233333333333,31,30,4,0,4,24.59,3.1,15,926.33,"VB",NA,NA,NA,0.138961826,0.110814594,9,2.16,2.05,0,15002,1875.25,"VB"
"CROCHET","knit",768.535714285714,767.178571428571,28,28,1,1,4,1.9,1.99,2,1266.67,"VB","synonym",0.26,0.04,0.086266734,124.5531,0.16,0.95,7,0,8208,1368,"VB|NN"
"CROCHET","sex",673.727272727273,600.15625,33,32,3,0,3,152.18,3.89,12,1317.5,"NN|VB",NA,NA,NA,0.090168402,0.043093643,0.16,0.95,7,0,8208,1368,"VB|NN"
"CROCODILE","mall",644.4,635.566666666667,30,30,3,0,4,18.9,2.98,16,2120.33,"NN",NA,NA,NA,0.041312201,0.062663044,2.25,2.06,9,0,13321,1665.13,"NN"
"CROCODILE","alligator",638.4,868.096774193548,30,31,1,1,9,3.49,2.25,0,2145.25,"NN","category",0.629,0.48,0.181349015,24.52652349,2.25,2.06,9,0,13321,1665.13,"NN"
"CROOK","thief",609.193548387097,610.387096774194,31,31,1,1,5,24.27,3.09,1,1027.25,"NN","synonym",0.459,0.34,0.045332368,1.656353794,5.67,2.46,5,4,4094,1023.5,"NN|VB"
"CROOK","staff",658.172413793103,753.030303030303,29,33,3,0,5,32,3.21,2,1519.25,"NN|VB",NA,NA,NA,0.050556612,0.039147445,5.67,2.46,5,4,4094,1023.5,"NN|VB"
"CROPS","worry",688.2,636.033333333333,30,30,4,0,5,287.02,4.17,3,1076,"VB|NN",NA,NA,NA,0.054554875,0.056565809,5,2.61,2.13,7,3996,999,"NN|VB"
"CROPS","harvest",808.161290322581,620.09375,31,32,2,1,7,3.82,2.29,1,2380.33,"NN|VB","bpa",0.034,0.78,0.315730032,5.556795309,5,2.61,2.13,7,3996,999,"NN|VB"
"CROSS","street",672.5,636.75,32,32,2,1,6,148.18,3.88,0,2403.8,"NN","fpa",0.043,0.27,0.096773233,0.383654406,5,55.04,3.45,4,5355,1338.75,"NN|VB"
"CROSS","ass",704.75,719.866666666667,32,30,4,0,3,226.37,4.06,4,1511.5,"NN|VB",NA,NA,NA,0.035112044,0,5,55.04,3.45,4,5355,1338.75,"NN|VB"
"CROWD","radio",730.275862068965,695.129032258065,29,31,4,0,5,77.18,3.6,2,2136.5,"NN|VB",NA,NA,NA,0.0909025,0.159627362,5,37.37,3.28,2,3657,914.25,"NN|VB"
"CROWD","mob",690.678571428571,830.241379310345,28,29,2,1,3,12.94,2.82,11,661.5,"NN","unclassified",0.067,0.53,0.193514751,1.060897347,5,37.37,3.28,2,3657,914.25,"NN|VB"
"CRUDE","nose",713.7,614.875,30,32,4,0,4,69.75,3.55,12,1225,"NN|VB",NA,NA,NA,0.120700341,0.04961855,5,3.04,2.19,1,4418,1104.5,"NN"
"CRUDE","disgusting",846.84375,756.51724137931,32,29,2,1,10,26.61,3.13,0,2851.22,"JJ|VB","synonym",0.02,0.01,0.017162981,0.317749419,5,3.04,2.19,1,4418,1104.5,"NN"
"CRUNCH","ball",631.9375,621,32,31,4,0,4,104.96,3.73,19,1819.33,"NN",NA,NA,NA,0.019418754,0,6,3.51,2.26,2,6231,1246.2,"NN|VB"
"CRUNCH","crackle",812.034482758621,753.866666666667,29,30,2,1,7,0.69,1.56,0,1644.17,"VB|NN","associated property",0.045,0.23,0.142203263,7.467144564,6,3.51,2.26,2,6231,1246.2,"NN|VB"
"CRUNCHY","nut",611.935483870968,697.103448275862,31,29,2,1,3,15.63,2.9,11,606.5,"NN","perceptual property",0.086,0.11,0.044006866,19.20078646,7,0.94,1.69,0,6480,1080,"JJ"
"CRUNCHY","foresight",844.741935483871,879.296296296296,31,27,4,0,9,0.75,1.59,0,1962.75,"NN",NA,NA,NA,0.058958775,0.048043797,7,0.94,1.69,0,6480,1080,"JJ"
"CRUSH","smash",644.625,693.107142857143,32,28,1,1,5,8.25,2.63,3,1238.25,"NN|VB","synonym",0.129,0.16,0.133131485,0.758251857,16.8,2.93,5,3,4223,1055.75,"VB|NN"
"CRUSH","speech",728.51724137931,567.5,29,32,3,0,6,38.04,3.29,0,1236.2,"NN",NA,NA,NA,0.012063289,0.080613933,16.8,2.93,5,3,4223,1055.75,"VB|NN"
"CRUST","beginner",699.935483870968,720.161290322581,31,31,4,0,8,1.94,2,0,2509.71,"NN",NA,NA,NA,0.051276155,0.104159397,5,3.25,2.22,3,6493,1623.25,"NN"
"CRUST","pizza",579.28125,768.064516129032,32,31,2,1,5,33.51,3.23,0,414.75,"NN","bpa",0.135,0.03,0.01552297,16.66443901,5,3.25,2.22,3,6493,1623.25,"NN"
"CRUTCH","reason",726.8125,655.40625,32,32,3,0,6,193.29,3.99,1,2639.4,"NN|VB",NA,NA,NA,0.028809636,0.044057033,1.31,1.83,6,3,4158,831.6,"NN"
"CRUTCH","leg",562.483870967742,612.586206896552,31,29,1,1,3,56.51,3.46,12,1925,"NN|VB","instrument",0.158,0.26,0.069186548,6.271696149,1.31,1.83,6,3,4158,831.6,"NN"
"CRY","tears",636.625,607.548387096774,32,31,1,1,5,22.35,3.06,10,2661,"NN","perceptual property",0.217,0.67,0.155482682,2.028043374,65.65,3.52,3,6,1430,715,"NN|VB"
"CRY","calm",668.37037037037,708.258064516129,27,31,3,0,4,89.04,3.66,4,1657.33,"JJ|NN|VB",NA,NA,NA,0.022919358,0.113618826,65.65,3.52,3,6,1430,715,"NN|VB"
"CRYSTAL","cuddle",829.607142857143,693.481481481482,28,27,4,0,6,2.16,2.05,5,989.6,"NN|VB",NA,NA,NA,0.160180318,0.074323235,7,16.14,2.92,0,10170,1695,"NN"
"CRYSTAL","clear",646.69696969697,600.225806451613,33,31,2,1,5,171.82,3.94,2,2193.75,"JJ|VB|RB","fpa",0.138,0.16,0.105622457,0.379265656,7,16.14,2.92,0,10170,1695,"NN"
"CUB","bear",695.34375,590.733333333333,32,30,1,1,4,57.41,3.47,19,1879.33,"VB|NN","bpa",0.585,0.74,0.218125645,0.310673327,2.1,2.03,3,13,1034,517,"NN"
"CUB","hospital",671.709677419355,696.515151515152,31,33,3,0,8,124.2,3.8,0,1543.86,"NN",NA,NA,NA,0.04239865,0,2.1,2.03,3,13,1034,517,"NN"
"CUCUMBER","tea",568.151515151515,539.285714285714,33,28,3,0,3,58.63,3.48,7,3105,"NN",NA,NA,NA,0.048091348,0,1.98,2.01,8,0,9838,1405.43,"NN"
"CUCUMBER","pickles",762.7,669.322580645161,30,31,1,1,7,3.69,2.28,1,2016.17,"NN|VB","category",0.238,0.26,0.050735935,94.42506305,1.98,2.01,8,0,9838,1405.43,"NN"
"CUDDLE","boy",592.161290322581,679.612903225806,31,31,2,1,3,529.82,4.43,15,451.5,"NN","unclassified",0.035,0.08,0.071170079,0.356805039,6,2.16,2.05,5,4948,989.6,"NN|VB"
"CUDDLE","weak",583.233333333333,665.466666666667,30,30,4,0,4,31.51,3.21,6,876.67,"JJ|NN",NA,NA,NA,0.013516704,0.02139893,6,2.16,2.05,5,4948,989.6,"NN|VB"
"CUE","hint",737.612903225806,767.5,31,32,2,1,4,9.2,2.67,7,3666.33,"NN|VB","unclassified",0.034,0,0.107839256,0.219120751,3,7.78,2.6,8,1060,530,"NN|VB"
"CUE","tell",626.483870967742,671.935483870968,31,31,4,0,4,1724.49,4.94,12,2582,"VB|NN",NA,NA,NA,0.024173655,0.215230934,3,7.78,2.6,8,1060,530,"NN|VB"
"CUFF","business",652.620689655172,679.741935483871,29,31,4,0,8,321,4.21,1,2702,"NN",NA,NA,NA,0.123251364,0.063232574,4,5.71,2.47,4,1185,395,"NN|VB"
"CUFF","pants",626.838709677419,645.375,31,32,2,1,5,58.75,3.48,4,2151.25,"NN","fpa",0.041,0.31,0.182417165,6.746486248,4,5.71,2.47,4,1185,395,"NN|VB"
"CULTURE","question",676.0625,703.903225806452,32,31,3,0,8,198.35,4.01,0,2984.29,"NN|VB",NA,NA,NA,0.035644258,0.099417405,13.94,2.85,7,1,8698,1449.67,"NN"
"CULTURE","society",630.161290322581,683.6875,31,32,1,1,7,32.92,3.23,0,954.33,"NN","synonym",0.119,0.46,0.542999899,0.384291799,13.94,2.85,7,1,8698,1449.67,"NN"
"CUP","horn",743.8,664.677419354839,30,31,3,0,4,21.08,3.03,6,1473.67,"NN",NA,NA,NA,0,0,51.65,3.42,3,8,1062,531,"NN|VB"
"CUP","saucer",679.935483870968,908.833333333333,31,30,1,1,6,2.75,2.15,2,1888.4,"NN","category",0.418,0.4,0.137616213,0.641892195,51.65,3.42,3,8,1062,531,"NN|VB"
"CUPBOARD","pull",643.4,686.5,30,32,4,0,4,146.45,3.87,13,1016,"VB|NN",NA,NA,NA,0.050876146,0.043866578,8,2.49,2.11,0,5856,836.57,"NN"
"CUPBOARD","cans",717.344827586207,645.75,29,28,2,1,4,7.67,2.59,11,2380.67,"NN|VB","script",0.033,0.18,0.083259504,0.123153116,8,2.49,2.11,0,5856,836.57,"NN"
"CURE","help",539.033333333333,650.296296296296,30,27,2,1,4,921.12,4.67,7,1188.67,"VB|NN","unclassified",0.042,0.27,0.130699043,0.271139885,4,20.84,3.03,11,6553,2184.33,"NN|VB"
"CURE","abandon",749.111111111111,747.586206896552,27,29,4,0,7,8.1,2.62,0,2037,"VB|NN",NA,NA,NA,0.061634979,0.106105062,4,20.84,3.03,11,6553,2184.33,"NN|VB"
"CURIOSITY","work",634.41935483871,574.53125,31,32,4,0,4,798.02,4.61,9,1120.67,"NN|VB",NA,NA,NA,0.011300986,0.052007532,9,8.53,2.64,0,12815,1601.88,"NN"
"CURIOSITY","knowledge",710.290322580645,630.181818181818,31,33,2,1,9,25.53,3.11,0,1365.63,"NN","unclassified",0.021,0.52,0.169641939,0.528951325,9,8.53,2.64,0,12815,1601.88,"NN"
"CURIOUS","sandwich",688.137931034483,792.96875,29,32,3,0,8,21.92,3.05,0,1474.14,"NN|VB",NA,NA,NA,0.075930562,0.088726353,26.22,3.13,7,1,10536,1756,"JJ"
"CURIOUS","george",685.3,737.666666666667,30,30,1,1,6,146.55,3.87,0,1144.8,"NN","fpa",0.193,0.19,0.053877954,0.640424873,26.22,3.13,7,1,10536,1756,"JJ"
"CURSE","swear",589.903225806452,687.928571428571,31,28,2,1,5,88.16,3.65,4,1365,"VB|NN","synonym",0.135,0.43,0.152133418,0.811432831,5,18.22,2.97,4,5511,1377.75,"NN|VB"
"CURSE","storm",611.9375,648.58064516129,32,31,4,0,5,30.86,3.2,3,2067,"NN|VB",NA,NA,NA,0.089196628,0.021981278,5,18.22,2.97,4,5511,1377.75,"NN|VB"
"CURSIVE","writing",606.21875,661.344827586207,32,29,1,1,7,55.92,3.46,2,3460.17,"VB|NN","supraordinate",0.378,0.29,0.160593863,1.112078596,0.08,0.7,7,0,7952,1325.33,"JJ|NN"
"CURSIVE","drop",694.344827586207,696.766666666667,29,30,3,0,4,130.61,3.82,3,1096.67,"NN|VB",NA,NA,NA,0.023965604,0.128564962,0.08,0.7,7,0,7952,1325.33,"JJ|NN"
"CURTAINS","closed",719.71875,713,32,31,2,1,6,54.08,3.44,3,1881.8,"VB|JJ","unclassified",0.014,0.48,0.153720834,0.262828485,8,6.29,2.51,0,14561,2080.14,"NN|VB"
"CURTAINS","collar",808.6,634.074074074074,25,27,4,0,6,10.51,2.73,2,2074.4,"NN|VB",NA,NA,NA,0.024791685,0.014932469,8,6.29,2.51,0,14561,2080.14,"NN|VB"
"CURVE","straight",654.060606060606,663.90625,33,32,1,1,8,122.43,3.8,0,1558.71,"JJ|NN","antonym",0.285,0.29,0.276862474,1.878878977,4.61,2.37,5,3,4129,1032.25,"NN|VB"
"CURVE","beat",742.34375,667.533333333333,32,30,3,0,4,131.69,3.83,20,2284.67,"VB|NN",NA,NA,NA,0.009576271,0.096544569,4.61,2.37,5,3,4129,1032.25,"NN|VB"
"CURVED","novel",662.387096774194,753.733333333333,31,30,4,0,5,10.06,2.71,2,1243.75,"NN",NA,NA,NA,0.021007285,0.154796485,6,0.61,1.51,4,8614,1722.8,"JJ|VB"
"CURVED","road",672.53125,707.3,32,30,2,1,4,111.94,3.76,6,1204.67,"NN","fpa",0.1,0.11,0.145432231,0.163306196,6,0.61,1.51,4,8614,1722.8,"JJ|VB"
"CUSHION","couch",593.866666666667,607.741935483871,30,31,1,1,5,23.47,3.08,6,1527.25,"NN","bpa",0.223,0.26,0.071861714,21.65404195,2.16,2.05,7,0,11620,1936.67,"NN|VB"
"CUSHION","hurry",627.2,683.838709677419,30,31,3,0,5,173.65,3.95,3,714,"NN|VB",NA,NA,NA,0.056381633,0.14896643,2.16,2.05,7,0,11620,1936.67,"NN|VB"
"CUSS","swear",657.5,679.766666666667,30,30,1,1,5,88.16,3.65,4,1365,"VB|NN","synonym",0.345,0.31,0.043535862,7.204963932,1.06,1.74,4,9,3696,1232,"VB"
"CUSS","alive",621.655172413793,625.4375,29,32,3,0,5,154.47,3.9,3,2146.5,"JJ",NA,NA,NA,0.104803265,0.0676377,1.06,1.74,4,9,3696,1232,"VB"
"CUSTARD","race",631.533333333333,644.5625,30,32,3,0,4,61.9,3.5,14,2068.67,"NN|VB",NA,NA,NA,0.067860609,0.084928304,1.25,1.81,7,2,11160,1860,"NN"
"CUSTARD","pudding",644.870967741935,698.935483870968,31,31,1,1,7,6.16,2.5,2,2275,"NN","category",0.263,0.75,0.240357141,68.86004761,1.25,1.81,7,2,11160,1860,"NN"
"CUSTOMER","six",662.78125,728.133333333333,32,30,4,0,3,199.53,4.01,11,872.5,"minor|NN",NA,NA,NA,0.063557617,0,8,15.2,2.89,0,16176,2310.86,"NN"
"CUSTOMER","service",658.15625,663.451612903226,32,31,2,1,7,79.92,3.61,1,2183.5,"NN|VB","fpa",0.095,0.32,0.212598435,0.858544591,8,15.2,2.89,0,16176,2310.86,"NN"
"CUT","strength",624.806451612903,708.727272727273,31,33,3,0,8,36.92,3.28,0,2697.29,"NN",NA,NA,NA,0.014967443,0,229.76,4.07,3,13,1599,799.5,"VB|NN"
"CUT","blood",596.645161290323,749.766666666667,31,30,1,1,5,186.12,3.98,4,1027.5,"NN","unclassified",0.168,0.09,0.094523626,0.199957182,229.76,4.07,3,13,1599,799.5,"VB|NN"
"CYCLONE","tornado",636.0625,826.129032258065,32,31,1,1,7,2.55,2.12,0,1276.5,"NN","synonym",0.313,0.45,0.09725758,6.498923932,0.47,1.4,7,0,9186,1531,"NN"
"CYCLONE","cautious",853.46875,768.466666666667,32,30,3,0,8,3.35,2.24,2,1948.71,"JJ",NA,NA,NA,0.082437611,0.061160632,0.47,1.4,7,0,9186,1531,"NN"
"CYLINDER","round",645.935483870968,687.1875,31,32,1,1,5,66.53,3.53,7,1859,"JJ|NN|VB",NA,0.242,0.05,0.164931261,0.123225339,1.57,1.91,8,0,20438,2919.71,"NN"
"CYLINDER","floor",635.90625,593.275862068965,32,29,3,0,5,100.63,3.71,2,1405.5,"NN|VB",NA,NA,NA,0.036361008,0,1.57,1.91,8,0,20438,2919.71,"NN"
"DAD","mom",607.5625,681.586206896552,32,29,1,1,3,430.39,4.34,6,1090.5,"NN","category",0.71,0.94,0.38278604,35.70586783,507.25,4.41,3,15,1585,792.5,"NN"
"DAD","waiter",714.785714285714,772.733333333333,28,30,3,0,6,13.2,2.83,4,2863.4,"NN",NA,NA,NA,0.078537979,0.094699854,507.25,4.41,3,15,1585,792.5,"NN"
"DAGGER","sword",604.290322580645,680,31,32,2,1,5,26.18,3.13,2,979,"NN","category",0.147,0.49,0.104186691,4.035376242,6,4.92,2.4,2,8930,1786,"NN"
"DAGGER","perfect",643.545454545455,661.931034482759,33,29,4,0,7,158.65,3.91,0,1828.5,"JJ|NN",NA,NA,NA,0.038779168,0.113122546,6,4.92,2.4,2,8930,1786,"NN"
"DAILY","blood",638.333333333333,692.161290322581,30,31,4,0,5,186.12,3.98,4,1027.5,"NN",NA,NA,NA,0.066681014,0.052926099,5,15.63,2.9,5,4429,1107.25,"JJ|NN|RB"
"DAILY","monthly",737.2,670.645161290323,30,31,2,1,7,2.98,2.18,0,1921,"JJ|RB","antonym",0.034,0.21,0.056180032,0.925735176,5,15.63,2.9,5,4429,1107.25,"JJ|NN|RB"
